iteration,expected_ns,actual_ns,jitter_ns
480,1244976616315634,1244976616325425,9791
481,1244976716315634,1244976716326433,10799
482,1244976816315634,1244976816326351,10717
483,1244976916315634,1244976916325421,9787
484,1244977016315634,1244977016326787,11153
485,1244977116315634,1244977116325717,10083
486,1244977216315634,1244977216326572,10938
487,1244977316315634,1244977316326372,10738
488,1244977416315634,1244977416325844,10210
489,1244977516315634,1244977516325603,9969
490,1244977616315634,1244977616325630,9996
491,1244977716315634,1244977716326672,11038
492,1244977816315634,1244977816326543,10909
493,1244977916315634,1244977916326425,10791
494,1244978016315634,1244978016326440,10806
495,1244978116315634,1244978116326771,11137
496,1244978216315634,1244978216326499,10865
497,1244978316315634,1244978316326570,10936
498,1244978416315634,1244978416326835,11201
499,1244978516315634,1244978516325660,10026
500,1244978616315634,1244978616326677,11043
501,1244978716315634,1244978716326415,10781
502,1244978816315634,1244978816325509,9875
503,1244978916315634,1244978916326525,10891
504,1244979016315634,1244979016327046,11412
505,1244979116315634,1244979116326910,11276
506,1244979216315634,1244979216327039,11405
507,1244979316315634,1244979316326572,10938
508,1244979416315634,1244979416326366,10732
509,1244979516315634,1244979516326450,10816
510,1244979616315634,1244979616325552,9918
511,1244979716315634,1244979716326815,11181
512,1244979816315634,1244979816325521,9887
513,1244979916315634,1244979916326539,10905
514,1244980016315634,1244980016325803,10169
515,1244980116315634,1244980116326754,11120
516,1244980216315634,1244980216326662,11028
517,1244980316315634,1244980316326725,11091
518,1244980416315634,1244980416326731,11097
519,1244980516315634,1244980516326599,10965
520,1244980616315634,1244980616325505,9871
521,1244980716315634,1244980716326749,11115
522,1244980816315634,1244980816325786,10152
523,1244980916315634,1244980916326811,11177
524,1244981016315634,1244981016326731,11097
525,1244981116315634,1244981116325581,9947
526,1244981216315634,1244981216326649,11015
527,1244981316315634,1244981316326374,10740
528,1244981416315634,1244981416325768,10134
529,1244981516315634,1244981516325639,10005
530,1244981616315634,1244981616325487,9853
531,1244981716315634,1244981716324665,9031
532,1244981816315634,1244981816325635,10001
533,1244981916315634,1244981916326916,11282
534,1244982016315634,1244982016325546,9912
535,1244982116315634,1244982116326834,11200
536,1244982216315634,1244982216326790,11156
537,1244982316315634,1244982316326649,11015
538,1244982416315634,1244982416326879,11245
539,1244982516315634,1244982516325355,9721
540,1244982616315634,1244982616325713,10079
541,1244982716315634,1244982716326894,11260
542,1244982816315634,1244982816325616,9982
